"gear","year","species","n","landing","coverage"
"HKL",1978,"ARRA",1,31286,1
"HKL",1978,"BANK",1,31286,1
"HKL",1978,"BCAC",1,31286,0
"HKL",1978,"BLCK",1,31286,1
"HKL",1978,"BLGL",1,31286,1
"HKL",1978,"BLUR",1,31286,1
"HKL",1978,"BRNZ",1,31286,0
"HKL",1978,"BRWN",1,31286,0
"HKL",1978,"CBZN",1,31286,0
"HKL",1978,"CLPR",1,31286,1
"HKL",1978,"CNRY",1,31286,1
"HKL",1978,"COPP",1,31286,1
"HKL",1978,"CWCD",1,31286,1
"HKL",1978,"DBRK",1,31286,1
"HKL",1978,"EGLS",1,31286,1
"HKL",1978,"FLAG",1,31286,1
"HKL",1978,"GBLC",1,31286,1
"HKL",1978,"GRAS",1,31286,1
"HKL",1978,"GSPT",1,31286,1
"HKL",1978,"GSRK",1,31286,0
"HKL",1978,"LCOD",1,31286,1
"HKL",1978,"LSPN",1,31286,0
"HKL",1978,"MXRF",1,31286,1
"HKL",1978,"OLVE",1,31286,1
"HKL",1978,"POP",1,31286,1
"HKL",1978,"QLBK",1,31286,0
"HKL",1978,"RDBD",1,31286,1
"HKL",1978,"REDS",1,31286,1
"HKL",1978,"REX",1,31286,0
"HKL",1978,"REYE",1,31286,0
"HKL",1978,"ROSY",1,31286,1
"HKL",1978,"RSTN",1,31286,1
"HKL",1978,"SBLY",1,31286,0
"HKL",1978,"SHRP",1,31286,0
"HKL",1978,"SLGR",1,31286,0
"HKL",1978,"SNOS",1,31286,1
"HKL",1978,"SPKL",1,31286,0
"HKL",1978,"SSPN",1,31286,1
"HKL",1978,"STAR",1,31286,1
"HKL",1978,"STRK",1,31286,1
"HKL",1978,"SWSP",1,31286,0
"HKL",1978,"TIGR",1,31286,0
"HKL",1978,"URCK",1,31286,0
"HKL",1978,"VRML",1,31286,1
"HKL",1978,"WDOW",1,31286,1
"HKL",1978,"YEYE",1,31286,1
"HKL",1978,"YMTH",1,31286,0
"HKL",1978,"YTRK",1,31286,0
"HKL",1979,"ARRA",29,781540,1
"HKL",1979,"BANK",29,781540,0.724137931034483
"HKL",1979,"BCAC",29,781540,0.517241379310345
"HKL",1979,"BLCK",29,781540,0.96551724137931
"HKL",1979,"BLGL",29,781540,0.931034482758621
"HKL",1979,"BLUR",29,781540,0.862068965517241
"HKL",1979,"BRNZ",29,781540,0.379310344827586
"HKL",1979,"BRWN",29,781540,1
"HKL",1979,"CBZN",29,781540,0.448275862068966
"HKL",1979,"CLPR",29,781540,0.724137931034483
"HKL",1979,"CNRY",29,781540,0.96551724137931
"HKL",1979,"COPP",29,781540,1
"HKL",1979,"CWCD",29,781540,0.896551724137931
"HKL",1979,"DBRK",29,781540,1
"HKL",1979,"EGLS",29,781540,0.275862068965517
"HKL",1979,"FLAG",29,781540,0.96551724137931
"HKL",1979,"GBLC",29,781540,0.379310344827586
"HKL",1979,"GRAS",29,781540,0.413793103448276
"HKL",1979,"GSPT",29,781540,0.793103448275862
"HKL",1979,"GSRK",29,781540,0.96551724137931
"HKL",1979,"LCOD",29,781540,0.862068965517241
"HKL",1979,"LSPN",29,781540,0.448275862068966
"HKL",1979,"MXRF",29,781540,0.620689655172414
"HKL",1979,"OLVE",29,781540,0.896551724137931
"HKL",1979,"POP",29,781540,1
"HKL",1979,"QLBK",29,781540,0
"HKL",1979,"RDBD",29,781540,0.896551724137931
"HKL",1979,"REDS",29,781540,0.827586206896552
"HKL",1979,"REX",29,781540,0.379310344827586
"HKL",1979,"REYE",29,781540,0.620689655172414
"HKL",1979,"ROSY",29,781540,0
"HKL",1979,"RSTN",29,781540,0.551724137931034
"HKL",1979,"SBLY",29,781540,0.724137931034483
"HKL",1979,"SHRP",29,781540,0.172413793103448
"HKL",1979,"SLGR",29,781540,0.172413793103448
"HKL",1979,"SNOS",29,781540,1
"HKL",1979,"SPKL",29,781540,0.793103448275862
"HKL",1979,"SSPN",29,781540,1
"HKL",1979,"STAR",29,781540,0.96551724137931
"HKL",1979,"STRK",29,781540,1
"HKL",1979,"SWSP",29,781540,0.724137931034483
"HKL",1979,"TIGR",29,781540,0
"HKL",1979,"URCK",29,781540,0.241379310344828
"HKL",1979,"VRML",29,781540,0.827586206896552
"HKL",1979,"WDOW",29,781540,0.96551724137931
"HKL",1979,"YEYE",29,781540,0.827586206896552
"HKL",1979,"YMTH",29,781540,0.413793103448276
"HKL",1979,"YTRK",29,781540,0.758620689655172
"HKL",1980,"ARRA",24,630761,1
"HKL",1980,"BANK",24,630761,0.875
"HKL",1980,"BCAC",24,630761,0.708333333333333
"HKL",1980,"BLCK",24,630761,1
"HKL",1980,"BLGL",24,630761,1
"HKL",1980,"BLUR",24,630761,0.958333333333333
"HKL",1980,"BRNZ",24,630761,0.0416666666666667
"HKL",1980,"BRWN",24,630761,0.958333333333333
"HKL",1980,"CBZN",24,630761,0.166666666666667
"HKL",1980,"CLPR",24,630761,0.916666666666667
"HKL",1980,"CNRY",24,630761,0.916666666666667
"HKL",1980,"COPP",24,630761,0.791666666666667
"HKL",1980,"CWCD",24,630761,0.791666666666667
"HKL",1980,"DBRK",24,630761,1
"HKL",1980,"EGLS",24,630761,0
"HKL",1980,"FLAG",24,630761,1
"HKL",1980,"GBLC",24,630761,0.916666666666667
"HKL",1980,"GRAS",24,630761,0.166666666666667
"HKL",1980,"GSPT",24,630761,0.833333333333333
"HKL",1980,"GSRK",24,630761,0.958333333333333
"HKL",1980,"LCOD",24,630761,0.916666666666667
"HKL",1980,"LSPN",24,630761,0.333333333333333
"HKL",1980,"MXRF",24,630761,0.25
"HKL",1980,"OLVE",24,630761,0.916666666666667
"HKL",1980,"POP",24,630761,1
"HKL",1980,"QLBK",24,630761,0.541666666666667
"HKL",1980,"RDBD",24,630761,0.916666666666667
"HKL",1980,"REDS",24,630761,0.958333333333333
"HKL",1980,"REX",24,630761,0.416666666666667
"HKL",1980,"REYE",24,630761,0.208333333333333
"HKL",1980,"ROSY",24,630761,0.541666666666667
"HKL",1980,"RSTN",24,630761,0.541666666666667
"HKL",1980,"SBLY",24,630761,0.458333333333333
"HKL",1980,"SHRP",24,630761,0.666666666666667
"HKL",1980,"SLGR",24,630761,0
