"species","mad"
"CLPR",0.000166294658300699
"BCAC",0.000186452916258148
"WDOW",0.000187979321113496
"CNRY",0.000202099154745897
"GSPT",0.000203381229798269
"BANK",0.000205934377524627
"LCOD",0.000211299639613558
"GSRK",0.000215849915210601
"SNOS",0.000218161413739907
"BLGL",0.000219931165919057
"SBLY",0.000225752808881429
"STRK",0.000225949175178823
"SSPN",0.000231143559873578
"YTRK",0.000231368751509295
"BLUR",0.000231603836898609
"SPKL",0.000232509441973714
"CWCD",0.000259652829125958
"OLVE",0.000265045969805336
"ARRA",0.000304252669139544
"VRML",0.000311871997870611
"REX",0.000357929991037554
"PNKR",0.000362290623042415
"FLAG",0.000370322331777014
"KLPG",0.000373487925229896
"EGLS",0.000379426030292061
"RDBD",0.00038449058188
"BRWN",0.000390600024002267
"TIGR",0.000391676511672965
"GBLC",0.000399199923356683
"DBRK",0.000406476920112694
"SABL",0.000416083238689957
